date,variant,net_return_difference
2019-08-01,monthly_control,6.0424115027505644e-05
2019-08-02,monthly_control,-0.00017767446295892777
2019-08-05,monthly_control,-0.0003964168014136676
2019-08-06,monthly_control,-0.00016208722304423412
2019-08-07,monthly_control,-8.324888945965487e-05
2019-08-08,monthly_control,-3.396119143983956e-05
2019-08-09,monthly_control,-2.8413033961419804e-05
2019-08-12,monthly_control,0.00014064751947874153
2019-08-13,monthly_control,-0.00038588098306047234
2019-08-14,monthly_control,0.00023500352850990274
2019-08-15,monthly_control,-0.0001249827791971373
2019-08-16,monthly_control,7.547476694185081e-05
2019-08-19,monthly_control,0.0001551618378587338
2019-08-20,monthly_control,5.510318841265194e-05
2019-08-21,monthly_control,-4.651947603016371e-05
2019-08-22,monthly_control,3.918655653556056e-05
2019-08-23,monthly_control,0.00011283019028996235
2019-08-26,monthly_control,-0.0004549114972791814
2019-08-27,monthly_control,0.0001520923487816437
2019-08-28,monthly_control,2.224541650680577e-06
2019-08-29,monthly_control,-0.00011713464972471117
2019-08-30,monthly_control,0.00014689667741906245
2019-09-02,monthly_control,-4.698039436312968e-05
2019-09-03,monthly_control,-5.45980030874526e-05
2019-09-04,monthly_control,4.835661230834752e-06
2019-09-05,monthly_control,-3.3227082741595516e-05
2019-09-06,monthly_control,0.0002953704927257752
2019-09-09,monthly_control,-0.0005481163237905013
2019-09-10,monthly_control,0.00024543933655659343
2019-09-11,monthly_control,-1.7277546573660088e-05
2019-09-12,monthly_control,1.8453678417817022e-05
2019-09-16,monthly_control,-0.00019728146416013036
2019-09-17,monthly_control,0.0003712907163865042
2019-09-18,monthly_control,0.00015687272482479194
2019-09-19,monthly_control,-0.0002768034532540706
2019-09-20,monthly_control,-0.00020586246174037994
2019-09-23,monthly_control,-0.0004465007618018
2019-09-24,monthly_control,-6.145579286167299e-05
2019-09-25,monthly_control,0.00048722258734917173
2019-09-26,monthly_control,0.0005633699111727382
2019-09-27,monthly_control,-3.509223090216991e-05
2019-09-30,monthly_control,0.0001674354207221746
2019-10-08,monthly_control,0.00018495626866867607
2019-10-09,monthly_control,-0.00032959862743670823
2019-10-10,monthly_control,-1.9664404264799554e-05
2019-10-11,monthly_control,0.00029552461017363007
2019-10-14,monthly_control,-5.378438604391393e-05
2019-10-15,monthly_control,0.00027241891749476047
2019-10-16,monthly_control,9.256932332106786e-05
2019-10-17,monthly_control,1.0303524589649307e-05
2019-10-18,monthly_control,8.058294692890947e-05
2019-10-21,monthly_control,6.126986573166152e-05
2019-10-22,monthly_control,-2.0638877346935026e-05
2019-10-23,monthly_control,-5.0500878868221235e-05
2019-10-24,monthly_control,3.4431203957175824e-05
2019-10-25,monthly_control,-1.829735508527674e-05
2019-10-28,monthly_control,-0.000159535284606624
2019-10-29,monthly_control,0.000318411994299403
2019-10-30,monthly_control,-0.00015030696194292788
2019-10-31,monthly_control,4.7311894544927744e-05
2019-11-01,monthly_control,1.853537765550157e-05
2019-11-04,monthly_control,7.030027355148195e-05
2019-11-05,monthly_control,-1.1752503944415134e-05
2019-11-06,monthly_control,0.00012229988807650229
2019-11-07,monthly_control,6.443488517319552e-07
2019-11-08,monthly_control,4.136561868269646e-05
2019-11-11,monthly_control,-1.2620969647427968e-06
2019-11-12,monthly_control,0.00010665770747660423
2019-11-13,monthly_control,-0.0002476073062579406
2019-11-14,monthly_control,-0.00018756028686716753
2019-11-15,monthly_control,5.082223716259063e-05
2019-11-18,monthly_control,4.918224769115539e-05
2019-11-19,monthly_control,-1.017875598501982e-05
