date,weight_红利ETF,weight_上证指数ETF,weight_沪深300ETF,weight_中证1000ETF,weight_恒生ETF,weight_恒生科技ETF,weight_科创50ETF,weight_0-5中高信用票,weight_中证转债,weight_黄金ETF
2020-11-09,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-10,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-11,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-12,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-13,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-16,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-17,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-18,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-19,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-20,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-23,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-24,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-25,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-26,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-27,2.124697142901628e-07,9.396883619663214e-06,0.0,7.539056828644556e-06,9.593127760061335e-17,0.3328996584652725,0.33289965960214946,0.001283266984978296,0.33289966170449703,7.839493476619108e-07
2020-11-30,2.726567512742239e-10,8.287191858991365e-11,5.500186402520484e-11,1.1114590190083702e-12,7.320787090774927e-07,0.4997795431544861,5.0215261665052396e-08,0.000440163288768469,0.4997795318774854,3.330321400765199e-10
2020-12-01,2.726567512742239e-10,8.287191858991365e-11,5.500186402520484e-11,1.1114590190083702e-12,7.320787090774927e-07,0.4997795431544861,5.0215261665052396e-08,0.000440163288768469,0.4997795318774854,3.330321400765199e-10
2020-12-02,2.726567512742239e-10,8.287191858991365e-11,5.500186402520484e-11,1.1114590190083702e-12,7.320787090774927e-07,0.4997795431544861,5.0215261665052396e-08,0.000440163288768469,0.4997795318774854,3.330321400765199e-10
2020-12-03,2.726567512742239e-10,8.287191858991365e-11,5.500186402520484e-11,1.1114590190083702e-12,7.320787090774927e-07,0.4997795431544861,5.0215261665052396e-08,0.000440163288768469,0.4997795318774854,3.330321400765199e-10
