schedule_year,calibration_start,calibration_end,validation_start,validation_end,variance_penalty,shortfall_penalty,model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss,sharpe_standard_error,quarterly_sharpe_median,quarterly_sharpe_min,solver_count,future_information_count,variance_rank,shortfall_rank,within_one_standard_error,selected
2020,2017-12-07,2018-12-18,2018-12-19,2019-12-31,0.1302535868490256,1963.531500602262,Global RRP,0.0974219808088647,0.0966162016239671,0.0008057791848976,0.0274836261722924,3.383458747108223,3.515409539421354,5.715505192738452,-0.013003235008928,7.430166536068138,0.0966162016239671,0.1883696243881156,2.37248294164687,0.0033392633718076,1.0133056954625976,3.5413974328936355,2.672555198678206,54,0,1,2,True,False
2020,2017-12-07,2018-12-18,2018-12-19,2019-12-31,0.1560984634576967,9.38487777188476,Global RRP,0.0956156140293282,0.0948284736062463,0.0007871404230819,0.0266339959714573,3.4290072439242327,3.5604298246448067,5.850052998819539,-0.0123863702767039,7.65587266389071,0.0948284736062463,0.184313150377525,2.3213923508755525,0.0031899879764387,1.0136106526360211,3.523328366346369,2.772929309866669,54,0,2,0,True,False
2020,2017-12-07,2018-12-18,2018-12-19,2019-12-31,0.1560984634576967,92.42440979230932,Global RRP,0.0958666761181936,0.0950252370615163,0.0008414390566773,0.0270828997743395,3.379278554618729,3.5086803057754805,5.724385018415748,-0.0127947319285868,7.426903321765168,0.0950252370615163,0.1969894034854472,2.481047573208952,0.0032849904929897,1.0132779078934429,3.5079055220876403,2.6862425232594087,54,0,2,1,True,False
2020,2017-12-07,2018-12-18,2018-12-19,2019-12-31,0.1560984634576967,1963.531500602262,Global RRP,0.0959091373319485,0.0950607275767798,0.0008484097551686,0.0271429725600267,3.3730585705475007,3.50222243958552,5.708367037664558,-0.0128465320714376,7.399719009625453,0.0950607275767798,0.1986145385203299,2.501515868777603,0.0032972957436283,1.013236623115744,3.505825804342381,2.674887243225653,54,0,2,2,True,False
2021,2018-12-06,2019-12-18,2019-12-19,2020-12-31,0.1181103628859636,2.9363103766328016,Global RRP,0.0801329178985332,0.0790779037583098,0.0010550141402234,0.047619157128596,1.628581181351324,1.6606321599678684,2.341909140850151,-0.0668635195704558,1.1826763572471428,0.0790779037583098,0.2505766434142549,3.147620494951683,0.0074017781043155,1.0046230553769526,2.717871722091152,-1.6122655469485403,54,0,0,0,True,True
2021,2018-12-06,2019-12-18,2019-12-19,2020-12-31,0.1181103628859636,12.518832198895398,Global RRP,0.0831661895152102,0.0820009708025371,0.0011652187126731,0.0486499246695613,1.6509373680559047,1.6855313006032762,2.369972649588589,-0.0670334393579532,1.223284551530445,0.0820009708025371,0.2760009023505423,3.466987525359689,0.0075952645698934,1.0046957421276796,2.66340770932123,-1.45186668628139,54,0,0,1,True,False
2021,2018-12-06,2019-12-18,2019-12-19,2020-12-31,0.1181103628859636,114.66320519512853,Global RRP,0.0843895160227623,0.0831801172581458,0.0012093987646164,0.0490633575686359,1.6597317947151573,1.695361291607147,2.3805922372184,-0.0671530091919205,1.2386655230954802,0.0831801172581458,0.2861522306683152,3.594503516589491,0.0076771811796419,1.0047246056150232,2.642477926909768,-1.3788749067467077,54,0,0,2,True,False
2021,2018-12-06,2019-12-18,2019-12-19,2020-12-31,0.1394844803124188,2.9363103766328016,Global RRP,0.0780787128952766,0.0769956007018395,0.0010831121934371,0.0466157972799084,1.621010848147322,1.6517061853412704,2.3285808573250684,-0.065699155340693,1.1719420181670075,0.0769956007018395,0.2577485129896147,3.237709991542164,0.0072683051519147,1.0045986653514525,2.6770671114290527,-1.614488544646032,54,0,1,0,True,False
2021,2018-12-06,2019-12-18,2019-12-19,2020-12-31,0.1394844803124188,12.518832198895398,Global RRP,0.0814164904690344,0.0802054371170357,0.0012110533519986,0.0477697375462169,1.6455551548517946,1.6790010001507218,2.359149361588625,-0.0658719003975422,1.2175971337245397,0.0802054371170357,0.2873339344993494,3.609347498641629,0.0074827079278303,1.0046781528291684,2.619961543058348,-1.4380891364698252,54,0,1,1,True,False
2021,2018-12-06,2019-12-18,2019-12-19,2020-12-31,0.1394844803124188,114.66320519512853,Global RRP,0.0827960517178423,0.0815329748090796,0.0012630769087627,0.0482486012979179,1.6552640376597247,1.6898515732226622,2.3706941911693784,-0.0660018401579964,1.2353136611631494,0.0815329748090796,0.2993066161722408,3.759742434496937,0.0075772786904172,1.0047099232857926,2.5959291001805864,-1.3528113733416856,54,0,1,2,True,False
2021,2018-12-06,2019-12-18,2019-12-19,2020-12-31,0.148645495035868,2.9363103766328016,Global RRP,0.0772718099516389,0.0761788346212462,0.0010929753303927,0.0462229670150712,1.6179107873613885,1.648073231569224,2.322935058598289,-0.0652328068913077,1.16779942871655,0.0761788346212462,0.2602932946613033,3.269676286707761,0.0072149802243687,1.0045887102316158,2.658678897072225,-1.6147092872592532,54,0,2,0,True,False
2021,2018-12-06,2019-12-18,2019-12-19,2020-12-31,0.148645495035868,12.518832198895398,Global RRP,0.0807523117041786,0.079524448762934,0.0012278629412445,0.0474253273236368,1.643806872318866,1.676835000426005,2.3552549679067023,-0.06540741825736,1.2158322539199973,0.079524448762934,0.2915056362995322,3.6617503639133697,0.0074372717040059,1.0046724516609675,2.6021721821403507,-1.4321808142656205,54,0,2,1,True,False
2021,2018-12-06,2019-12-18,2019-12-19,2020-12-31,0.148645495035868,114.66320519512853,Global RRP,0.082179077188865,0.0808953738331412,0.0012837033557238,0.0479350899972522,1.6534216858359798,1.6876024189748768,2.366494737279133,-0.0655417340479355,1.2342574545552385,0.0808953738331412,0.3043729359156195,3.823383050162276,0.0075373485864299,1.004703880252489,2.57570104631232,-1.342034637769189,54,0,2,2,True,False
2022,2019-12-06,2020-12-18,2020-12-21,2021-12-31,0.0851463449084798,2.009725534483516,Global RRP,0.0778636508565677,0.0770814028599407,0.000782247996627,0.0366796595420991,2.051075884551413,2.101475417771267,2.9083303007738035,-0.0199118551741214,3.871131152064629,0.0770814028599407,0.1861804459924745,2.357416807156713,0.0054833201575566,1.0061631910877962,1.8388065651755852,0.5815521456108256,54,0,0,0,True,True
2022,2019-12-06,2020-12-18,2020-12-21,2021-12-31,0.0851463449084798,5.665258054997339,Global RRP,0.0785146036769393,0.0776704498788758,0.0008441537980634,0.0370804429471818,2.0441123540505783,2.094647304766864,2.8984849536792985,-0.0200000643998816,3.883509989064604,0.0776704498788758,0.2007848348166026,2.5423375784478224,0.0055480719202085,1.0061349613200024,1.836061337927315,0.5419467983272943,54,0,0,1,True,False
2022,2019-12-06,2020-12-18,2020-12-21,2021-12-31,0.0851463449084798,18.61030491106525,Global RRP,0.0787823452548368,0.0779046697746328,0.000877675480204,0.0373051077216733,2.0378757188556333,2.088311079433558,2.889214802360283,-0.0200568859609313,3.8841857069129615,0.0779046697746328,0.2087020834478802,2.6425857806170603,0.0055840977658739,1.00610975917193,1.833089856376036,0.5174892678940006,54,0,0,2,True,False
2022,2019-12-06,2020-12-18,2020-12-21,2021-12-31,0.1077596259001431,2.009725534483516,Global RRP,0.0770261604033157,0.0762172038575643,0.0008089565457514,0.0354292561928808,2.09944310935407,2.1512504649442667,2.969852057335063,-0.0191643020803413,3.977040412849031,0.0762172038575643,0.1926833227087218,2.439756232137836,0.0053153707354691,1.0063618959778455,1.935240788148838,0.5902655976306711,54,0,1,0,True,False
2022,2019-12-06,2020-12-18,2020-12-21,2021-12-31,0.1077596259001431,5.665258054997339,Global RRP,0.0775624508799488,0.0766787356854825,0.0008837151944662,0.0358965255157151,2.084572791539018,2.1361046670634867,2.9479522312932085,-0.019285434294456,3.975992166664622,0.0766787356854825,0.2103763554093208,2.66378541219282,0.0053924643864105,1.0063003160795896,1.9229094100539847,0.5409352487681617,54,0,1,1,True,False
2022,2019-12-06,2020-12-18,2020-12-21,2021-12-31,0.1077596259001431,18.61030491106525,Global RRP,0.0777698333415213,0.0768434234526007,0.0009264098889205,0.0361726474571891,2.0731811086269976,2.1243516539270724,2.9308134120428795,-0.0193672480824242,3.967699650748827,0.0768434234526007,0.2204935931328494,2.79188987624814,0.0054375705016424,1.0062534352312429,1.914344954079068,0.5091711850347184,54,0,1,2,True,False
2022,2019-12-06,2020-12-18,2020-12-21,2021-12-31,0.1189355251699408,2.009725534483516,Global RRP,0.0765224791020564,0.075702416989797,0.0008200621122593,0.0348939983736527,2.1173397880123592,2.1694967764702304,2.9920545293662206,-0.0188331178655773,4.019643350088286,0.075702416989797,0.1954183592409352,2.4743872647087217,0.005243107024525,1.006436583778199,1.9753004170418649,0.5906078216684683,54,0,2,0,True,False
2022,2019-12-06,2020-12-18,2020-12-21,2021-12-31,0.1189355251699408,5.665258054997339,Global RRP,0.0770805904019351,0.0761793694935508,0.0009012209083842,0.0353938078072639,2.100513161385412,2.152336078344089,2.967177096097349,-0.0189680629475798,4.016191305568756,0.0761793694935508,0.2146378690958808,2.717744698492043,0.005325351593598,1.006366343937171,1.9605006187094367,0.5373715817303953,54,0,2,1,True,False
