date,weight_红利ETF,weight_上证指数ETF,weight_沪深300ETF,weight_中证1000ETF,weight_恒生ETF,weight_恒生科技ETF,weight_科创50ETF,weight_0-5中高信用票,weight_中证转债,weight_黄金ETF
2019-07-19,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-22,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-23,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-24,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-25,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-26,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-29,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-30,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-07-31,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-01,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-02,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-05,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-06,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-07,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-08,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-09,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-12,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-13,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-14,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-15,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-16,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-19,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-20,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-21,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-22,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-23,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-26,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-27,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-28,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-29,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-08-30,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-02,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-03,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-04,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-05,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-06,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-09,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-10,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-11,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
