window,model,start_date,end_date,observations,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,cvar_95_daily_loss,avg_monthly_turnover,annualized_turnover
rolling_36m_2019-03-01_2022-02-28,Defensive Dynamic Relaxed Risk Parity,2019-03-01,2022-02-28,707,0.08972650230940493,0.056277562459656975,1.1417459903796476,-0.051800178364396876,1.7321658948393786,0.008224455485177638,0.25,3.0020547945205482
rolling_36m_2020-03-01_2023-02-28,Defensive Dynamic Relaxed Risk Parity,2020-03-02,2023-02-28,711,0.03666682233482654,0.05771046785581764,0.28118642275124345,-0.07024843804602277,0.5219592542513832,0.008529816456387071,0.25,3.0075480329368713
rolling_36m_2021-03-01_2024-02-29,Defensive Dynamic Relaxed Risk Parity,2021-03-01,2024-02-29,708,0.009218937431270335,0.04539677876116011,-0.23807112436419342,-0.07024843804602221,0.13123334393898817,0.0071449183384451114,0.23696058979454915,2.8454746988205724
rolling_36m_2022-03-01_2025-02-28,Defensive Dynamic Relaxed Risk Parity,2022-03-01,2025-02-28,705,0.008736967798507855,0.03038000835707382,-0.29994137742996757,-0.046963390022348506,0.18603784339993742,0.005170422060443772,0.22763762297888057,2.733522469908037
rolling_36m_2023-03-01_2026-02-28,Defensive Dynamic Relaxed Risk Parity,2023-03-01,2026-02-27,704,0.05207105166096748,0.02358390812512122,1.470691127673143,-0.020329804863625345,2.5613158616261225,0.0035958305464160595,0.22763762297888057,2.7360211193320847
full_available_sample,Convex Adaptive Global RRP,2007-01-19,2026-08-28,4703,0.11588459214306512,0.1587616862056014,0.6192471712496574,-0.28870716566057253,0.4013914648703538,0.023748028877919644,0.00423728813559322,0.05100544616673649
pre_2020,Convex Adaptive Global RRP,2007-01-19,2019-12-31,3089,0.12116629843387772,0.1546536897182651,0.6436305962064914,-0.2534004415345865,0.4781613548109772,0.02353350080206496,0.00641025641025641,0.0772362021569042
2020_2021,Convex Adaptive Global RRP,2020-01-02,2021-12-31,486,0.23153445848083232,0.18746139074106621,1.086758199838362,-0.15668281754980085,1.4777271822243065,0.027160268350617415,0.0,0.0
post_2021,Convex Adaptive Global RRP,2022-01-04,2026-08-28,1128,0.05260987638598125,0.15640500619322145,0.29930679542824423,-0.2360092443187788,0.22291447327766892,0.022466784886486384,0.0,0.0
post_2022,Convex Adaptive Global RRP,2023-01-03,2026-08-28,886,0.10140102854833088,0.14783109737483507,0.6197577378235164,-0.20147698713388418,0.5032883903557112,0.020427883816665146,0.0,0.0
rolling_36m_2007-01-01_2009-12-31,Convex Adaptive Global RRP,2007-01-19,2009-12-31,660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rolling_36m_2008-01-01_2010-12-31,Convex Adaptive Global RRP,2008-01-02,2010-12-31,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rolling_36m_2009-01-01_2011-12-31,Convex Adaptive Global RRP,2009-01-05,2011-12-30,719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rolling_36m_2010-01-01_2012-12-31,Convex Adaptive Global RRP,2010-01-04,2012-12-31,727,0.004628167055432009,0.09066724994916894,-0.18747102380238878,-0.18104447379567745,0.02556370243399558,0.015422851753335538,0.027777777777777776,0.334478021978022
rolling_36m_2011-01-01_2013-12-31,Convex Adaptive Global RRP,2011-01-04,2013-12-31,725,0.11396816720695835,0.15351045629982604,0.5844839999729307,-0.18104447379567745,0.6295037060097186,0.022007119129281834,0.027777777777777776,0.334478021978022
rolling_36m_2012-01-01_2014-12-31,Convex Adaptive Global RRP,2012-01-04,2014-12-31,726,0.21970448279383303,0.1836987778566002,1.005735726695275,-0.18104447379567745,1.2135387409934775,0.02457549037759503,0.027777777777777776,0.334478021978022
