candidate_ts_code,candidate_name,active_ts_code,active_name,exposure_vector_correlation,daily_return_correlation,paired_return_days
520830.SH,沙特ETF,510880.SH,红利ETF,0.5455731105310269,0.14921267042729142,493
520830.SH,沙特ETF,512660.SH,军工ETF,0.5178564013366173,0.07508618675122528,493
520830.SH,沙特ETF,588000.SH,科创50ETF,0.5152504203491336,0.064154196582814,493
520830.SH,沙特ETF,515220.SH,煤炭ETF,0.4967947676010677,0.13044503281990333,493
520830.SH,沙特ETF,159981.SZ,能源化工期货ETF,0.4920474695158619,0.11920283053688795,493
520830.SH,沙特ETF,563300.SH,中证2000ETF,0.4860398381555295,0.1114553804357251,493
520830.SH,沙特ETF,159985.SZ,豆粕ETF,0.43111076180607155,0.03123338490531535,493
520830.SH,沙特ETF,511030.SH,信用债ETF,-0.26877134995840046,-0.06515976068278402,493
520830.SH,沙特ETF,511010.SH,国债ETF,-0.5439893588246386,-0.12981540762549104,493
520830.SH,沙特ETF,511260.SH,10年国债ETF,-0.6122424263542924,-0.13805063863615805,493
520830.SH,沙特ETF,511880.SH,日利ETF,-0.6739596939007202,-0.08320664170174286,493
520870.SH,巴西ETF,159920.SZ,恒生ETF,0.9785055186956656,0.5079227319315397,173
520870.SH,巴西ETF,513030.SH,欧洲ETF,0.9409074110824593,0.5526702754358009,173
520870.SH,巴西ETF,159941.SZ,纳指ETF,0.9394313522070238,0.40535778635932007,173
520870.SH,巴西ETF,513880.SH,日经225ETF,0.9349505223440856,0.4502682209414003,173
520870.SH,巴西ETF,513500.SH,标普500ETF,0.904698693847794,0.46436002961138917,173
520870.SH,巴西ETF,510300.SH,沪深300ETF,0.9036116767973841,0.4227467680220929,173
520870.SH,巴西ETF,159928.SZ,消费ETF,0.8857175735791502,0.3380237280262766,173
520870.SH,巴西ETF,512880.SH,证券ETF,0.8839179173974558,0.3370802108152242,173
520870.SH,巴西ETF,511380.SH,可转债ETF,0.8655702217577661,0.41441235400548937,173
520870.SH,巴西ETF,159915.SZ,创业板ETF,0.864542727418164,0.2718545437294572,173
520870.SH,巴西ETF,510500.SH,中证500ETF,0.8445493101560788,0.3725421253137696,173
520870.SH,巴西ETF,161226.SZ,白银LOF,0.8274276104682217,0.2980698670031747,169
520870.SH,巴西ETF,159819.SZ,人工智能ETF,0.8214906272506791,0.22556643044374408,173
520870.SH,巴西ETF,516160.SH,新能源ETF,0.8141468386932776,0.26043209090281993,173
520870.SH,巴西ETF,512480.SH,半导体ETF,0.8099634928696742,0.1805756035871003,173
520870.SH,巴西ETF,588000.SH,科创50ETF,0.7949242844009119,0.20943946696715326,173
520870.SH,巴西ETF,159980.SZ,有色金属期货ETF,0.7875451674557736,0.5133811289545556,173
520870.SH,巴西ETF,512100.SH,中证1000ETF,0.771490658318833,0.36103270103399315,173
520870.SH,巴西ETF,512660.SH,军工ETF,0.7568432818097304,0.21081027789236412,173
520870.SH,巴西ETF,563300.SH,中证2000ETF,0.6999388180076407,0.2892221755794935,173
520870.SH,巴西ETF,518880.SH,黄金ETF,0.5515553138841086,0.5811398350828254,173
520870.SH,巴西ETF,510880.SH,红利ETF,0.5342563406621107,0.2868563926352836,173
520870.SH,巴西ETF,162411.SZ,原油ETF,0.439174704521122,0.05233877067255254,173
520870.SH,巴西ETF,515220.SH,煤炭ETF,0.39355453244480904,0.18559704017474818,173
520870.SH,巴西ETF,159981.SZ,能源化工期货ETF,0.3513996701185288,-0.17490457103278528,173
520870.SH,巴西ETF,159985.SZ,豆粕ETF,0.29920797354566575,0.002541011273691178,173
520870.SH,巴西ETF,511030.SH,信用债ETF,-0.23903354819951367,-0.007366492586647771,173
520870.SH,巴西ETF,511010.SH,国债ETF,-0.5249909029928016,-0.14916903671382947,173
520870.SH,巴西ETF,511260.SH,10年国债ETF,-0.57762400718371,-0.07845530330462482,173
520870.SH,巴西ETF,511880.SH,日利ETF,-0.9231318484497935,-0.22465595989867174,173
562500.SH,机器人ETF,512660.SH,军工ETF,0.993947256974095,0.7240761975157629,1110
562500.SH,机器人ETF,512480.SH,半导体ETF,0.9924673242147681,0.6900546362051388,1110
562500.SH,机器人ETF,563300.SH,中证2000ETF,0.9907178518073883,0.8363969095843279,694
562500.SH,机器人ETF,159819.SZ,人工智能ETF,0.9888382017726111,0.7754782654730544,1110
562500.SH,机器人ETF,512100.SH,中证1000ETF,0.9883264990790243,0.8539275462715202,1108
562500.SH,机器人ETF,588000.SH,科创50ETF,0.9840229921934202,0.7428092700991433,1110
562500.SH,机器人ETF,516160.SH,新能源ETF,0.9802193253889105,0.6621987830353729,1110
562500.SH,机器人ETF,510500.SH,中证500ETF,0.9684668509303677,0.8035738730989651,1110
562500.SH,机器人ETF,511380.SH,可转债ETF,0.9554485082467268,0.6553065083536966,1110
562500.SH,机器人ETF,159915.SZ,创业板ETF,0.9463468412849679,0.7545798308237103,1110
562500.SH,机器人ETF,512880.SH,证券ETF,0.8603044426355666,0.5535662367703573,1110
562500.SH,机器人ETF,510300.SH,沪深300ETF,0.8200043866647362,0.6740149751145346,1110
562500.SH,机器人ETF,159928.SZ,消费ETF,0.7539146180743184,0.36432579809090604,1110
562500.SH,机器人ETF,159920.SZ,恒生ETF,0.7162262328739185,0.45018902283134465,1110
562500.SH,机器人ETF,513880.SH,日经225ETF,0.6041493043592745,0.27953109317885366,1110
562500.SH,机器人ETF,161226.SZ,白银LOF,0.6037578252683872,0.14062223949116767,1106
562500.SH,机器人ETF,159941.SZ,纳指ETF,0.5965162828641629,0.25325956643544695,1110
562500.SH,机器人ETF,513030.SH,欧洲ETF,0.5708444151544634,0.2586989189721876,1108
562500.SH,机器人ETF,513500.SH,标普500ETF,0.5135746281453314,0.20696118338635733,1108
562500.SH,机器人ETF,159980.SZ,有色金属期货ETF,0.4961212226429316,0.2532039500916648,1110
562500.SH,机器人ETF,518880.SH,黄金ETF,0.35482598393696146,0.09491128588076415,1110
562500.SH,机器人ETF,510880.SH,红利ETF,0.20926893709452662,0.16247523002658434,1110
562500.SH,机器人ETF,162411.SZ,原油ETF,0.08654498900269939,0.031118574500624132,1110
562500.SH,机器人ETF,159981.SZ,能源化工期货ETF,0.08435116241825495,0.05342698540574798,1110
562500.SH,机器人ETF,515220.SH,煤炭ETF,0.08352704031459644,0.1474695542531439,1110
562500.SH,机器人ETF,159985.SZ,豆粕ETF,0.01891068787323466,-0.023254334958659417,1110
562500.SH,机器人ETF,511030.SH,信用债ETF,-0.2959599473821946,-0.04000926036502223,1110
562500.SH,机器人ETF,511010.SH,国债ETF,-0.3819143534351606,-0.14073524027759848,1110
562500.SH,机器人ETF,511260.SH,10年国债ETF,-0.448709596456627,-0.18931524261833632,1110
562500.SH,机器人ETF,511880.SH,日利ETF,-0.8838436797725874,-0.17685222815176932,1110
